"ID" "name" "long" "lat" "primary" "secondary" "tertiary" "gdp" "temp" "humi" "wind"
80192 "changde" 111.698996 29.031599 493.5 1704.6 2187.5 84179 18.2449315068493 72.7917808219178 2.65698630136986
80193 "changzhou" 119.974999 31.809695 178.92 4857.43 5080.01 188366 17.6495890410959 69.9260273972603 1.82465753424658
80194 "chaozhou" 116.622996 23.6564 9.7 46.7 43.6 52665 22.358904109589 79.6054794520548 1.51452054794521
80195 "chenzhou" 113.014997 25.770594 325.34 1200.33 1584.91 67347 18.5487671232877 79.2246575342466 3.76547945205479
80196 "chengdu" 104.066282 30.572933 594.86 6370.87 15108.99 103465 18.1772602739726 74.1945205479452 1.6427397260274
80197 "chengde" 117.962999 40.9515 430.3 586.8 834.6 56075 10.6961643835616 50.8 1.85095890410959
80198 "chizhou" 117.495656 30.674302 97.34 488.9 525.95 83906 17.5780821917808 77.1452054794521 1.95260273972603
80199 "chongzuo" 107.365 22.377197 214.92 421.15 481.49 53939 23.2665753424658 75.1671232876712 2.34931506849315
80200 "chuzhou" 118.333002 32.254993 295.06 1862.53 1624.42 93325 16.4632876712329 74.0109589041096 2.04794520547945
80201 "dazhou" 107.467999 31.208597 440.53 896.11 1320.05 49755 18.5052054794521 77.1232876712329 1.30164383561644
80202 "dalian" 121.614996 38.913296 595.9 3715.3 4441.7 116557 12.8279452054795 62.7534246575342 2.8572602739726
80203 "datong" 113.366826 40.096834 114 795.2 962.4 60580 7.55917808219178 52.7424657534247 2.2186301369863
80204 "dandong" 124.355002 40.000497 195.2 234.8 515.2 44926 10.7624657534247 68.2684931506849 2.71643835616438
80205 "deyang" 104.397998 31.126801 303.73 1421.68 1289 87197 17.7819178082192 74.4712328767123 1.42383561643836
80206 "dezhou" 116.358997 37.435499 377.95 1527.37 1899.95 68494 14.4769863013699 64.1095890410959 2.07369863013699
80207 "dongguan" 113.751997 23.020994 0.3 56.6 43.1 109339 23.7843835616438 75.3178082191781 2.12328767123288
80208 "dongying" 118.674999 37.433298 195.24 2222.88 1480.94 176628 15.3057534246575 57.627397260274 1.94739726027397
80209 "ezhou" 114.895003 30.390893 120.09 500.19 645.74 118133 18.7542465753425 76.2219178082192 2.8958904109589
80210 "foshan" 113.121997 23.0219 1.7 56.6 41.7 138526 23.8813698630137 73.0821917808219 2.36191780821918
80211 "fuzhou" 119.297 26.074195 721.59 4675.12 7531.77 152846 21.3934246575342 73.2602739726027 2.01178082191781
80212 "fushun" 123.957998 41.879595 60.7 447.2 441.3 52663 8.49753424657534 66.1123287671233 2.85945205479452
80213 "fuzhou" 116.357999 27.949098 243.05 795.51 996.35 56854 19.2950684931507 76.9342465753425 2.26712328767123
80214 "fuxin" 121.669999 42.021697 130.2 155.7 316.1 38101 9.57671232876712 55.7452054794521 2.89205479452055
80215 "fuyang" 115.813998 32.889798 433.12 1169.12 1721.45 40970 17.2 67.0931506849315 2.54958904109589
80216 "ganzhou" 114.934005 25.829094 456.7 1804.19 2345.33 51245 20.5 73 2.11
80217 "guangan" 106.633002 30.455994 247.78 460.15 804.58 46798 18.1298630136986 80.3315068493151 1.76109589041096
80218 "guangyuan" 105.843996 32.435295 215.13 437.46 527.23 52204 17.087397260274 68.7369863013699 1.79232876712329
80219 "guangzhou" 113.264997 23.129101 1.1 25.6 73.3 161634 22.8515068493151 77.9753424657534 2.04438356164384
80220 "guigang" 109.598996 23.1116 287.91 504.83 780.75 36321 22.9561643835616 76.8904109589041 2.27780821917808
80221 "guiyang" 106.630004 26.647593 207.48 1805.28 3142 81670 16.0986301369863 76.7890410958904 2.39232876712329
80222 "guilin" 110.179719 25.235524 661.16 498.51 1363.8 50943 21.0424657534247 69.2849315068493 1.98876712328767
80223 "handan" 114.539002 36.625597 449.5 1807.2 2125.4 47493 15.8597260273973 59.4219178082192 1.65506849315068
80224 "hanzhong" 107.022997 33.067596 306.01 705.55 883.33 59722 16.36 72.2876712328767 1.03753424657534
80225 "hangzhou" 120.208998 30.247099 347 5667 14045 161129 18.7564383561644 69.9260273972603 2.09369863013699
80226 "hefei" 117.226998 31.820297 377.2 4642.21 7654.38 130074 16.7547945205479 75.1945205479452 2.27972602739726
80227 "hechi" 108.636576 24.48582 272.64 322.21 568.58 34405 22.013698630137 71.7561643835616 1.67068493150685
80228 "heyuan" 114.700995 23.743495 12.8 37 50.2 47472 22.0375342465753 77.8767123287671 2.36520547945205
80229 "heze" 115.481004 35.233597 422.13 1799.52 2242.84 51557 16.2060273972603 62.9945205479452 2.33013698630137
80230 "hezhou" 111.566998 24.403499 178.24 375.04 421.87 48257 21.1761643835616 78.5315068493151 2.30328767123288
80231 "hebi" 114.296998 35.746702 74.78 543.25 415.14 65807 15.6213698630137 64.6082191780822 2.95397260273973
80232 "hengshui" 115.668996 37.738898 259.8 609.8 1018.5 45364 15.5958904109589 57.8794520547945 1.56219178082192
80233 "hengyang" 112.572002 26.893296 461.5 1385.79 2343.57 64108 19.4454794520548 75.0630136986301 2.12876712328767
80234 "huludao" 120.837001 40.710996 158 327.4 426.2 38815 10.7213698630137 60.2520547945205 3.12630136986301
80235 "huzhou" 120.088001 30.893 159 1979 1878 117195 18.0764383561644 71.1671232876712 1.66
80236 "huaihua" 110.002 27.569296 282.1 565.38 1101.04 43335 17.8386301369863 79.241095890411 1.67808219178082
80237 "huaian" 119.113199 33.550941 462.95 2023.21 2528.9 110329 15.8534246575342 74.8301369863014 2.2627397260274
80238 "huaibei" 116.797999 33.955801 89.66 584.93 690.93 70135 16.361095890411 67.3972602739726 2.12219178082192
80239 "huainan" 116.999997 32.625494 152.45 657.64 791.47 53005 16.8183561643836 67.7041095890411 2.24520547945205
80240 "huanggang" 114.871999 30.4534 571.55 924.61 1388.53 49812 18.3964383561644 74.8438356164384 2.53698630136986
80241 "huangshan" 118.160059 30.139528 79.86 359.81 606.63 79295 18.1304109589041 77.3068493150685 1.37178082191781
80242 "huangshi" 115.038996 30.1994 141.96 953.67 1013.33 86371 18.6016438356164 75.9835616438356 1.50301369863014
80243 "huizhou" 114.417002 23.1107 5.3 54.4 40.3 93036 23.1249315068493 73.9753424657534 2.31260273972603
80244 "jian" 114.994003 27.1138 258.11 1206.06 1270.9 62099 20.3682191780822 73.6849315068493 1.48520547945205
80245 "jinan" 117.12 36.6502 429.53 4312.01 8015.88 135347 16.3602739726027 52.1369863013699 2.3413698630137
80246 "jining" 116.587002 35.414499 627.89 2073.59 2814.99 66741 16.5871232876712 63.1945205479452 1.3641095890411
80247 "jiaxing" 120.756997 30.745096 141 3777 3144 126851 18.0293150684932 75.7643835616438 1.90821917808219
80248 "jiangmen" 113.081996 22.578795 8.6 46.1 45.3 83409 24.1276712328767 73.5150684931507 2.5827397260274
80249 "jiaozuo" 113.242001 35.215098 134.51 862.1 1237.32 63437 17.3761643835616 57.0356164383562 1.53205479452055
80250 "jieyang" 116.372003 23.549693 9.4 37.4 53.2 43322 23.2115068493151 75.558904109589 1.89506849315068
80251 "jinhua" 119.647005 29.0783 156 2367 3487 84133 19.586301369863 68.2986301369863 1.68109589041096
80252 "jinzhou" 121.126002 41.095203 228 333.3 692.1 47577 11.6361643835616 53.7123287671233 2.30986301369863
80253 "jincheng" 112.851999 35.490596 81.2 1505.5 746.5 107003 13.2090410958904 57.3452054794521 2.13013698630137
80254 "jinzhong" 112.752999 37.687097 158.1 1119.2 813.6 61760 11.3728767123288 54.613698630137 2.54465753424658
80255 "jingmen" 112.199996 31.035398 303.83 876.52 1091.94 89150 17.7369863013699 69.8328767123288 3.67890410958904
80256 "jingzhou" 112.238996 30.334995 606.97 1084.29 1460.22 61369 18.1024657534247 75.7397260273973 1.97808219178082
80257 "jingdezhen" 117.177998 29.268599 76.64 517.36 607.1 74146 19.0778082191781 76.1616438356164 2.3786301369863
80258 "jiujiang" 115.954123 29.660728 260.26 1664.45 1920.39 84322 18.0394520547945 75.386301369863 2.01643835616438
80259 "kaifeng" 114.314192 34.79826 360.35 904.81 1269.03 53873 16.7783561643836 61.7890410958904 2.0841095890411
80260 "laibin" 109.220997 23.750395 208.57 334.45 438.39 47538 22.1230136986301 78.1643835616438 1.99808219178082
80261 "langfang" 116.683995 39.537601 217.9 1153.8 2236.6 65763 14.5460273972603 52.4109589041096 1.24657534246575
80262 "leshan" 103.766003 29.551993 308.3 1034.47 1104.76 77699 19.1183561643836 74.3780821917808 1.29013698630137
80263 "lishui" 119.922998 28.467495 115 740 1109 77908 19.5115068493151 72.1561643835616 1.7172602739726
80264 "lianyungang" 119.222002 34.596596 435.54 2011.68 1916.39 94918 15.5054794520548 69.4219178082192 2.34465753424658
80265 "liaoyang" 123.236999 41.267801 103.2 351.6 423.7 57132 10.9657534246575 57.0054794520548 1.78109589041096
80266 "liaocheng" 115.985 36.457096 413.85 1083.54 1428.97 49760 15.5772602739726 63.2657534246575 2.42054794520548
80267 "linfen" 111.518997 36.087901 178 1232.5 902 59342 14.8624657534247 55.0602739726027 1.58109589041096
80268 "linyi" 118.357004 35.104797 529.54 2374.2 3201.43 55661 15.453698630137 61.4739726027397 2.77260273972603
80269 "liuzhou" 109.428003 24.325698 298.68 1232.62 1584.56 74679 20.8169863013699 78.7780821917808 3.53095890410959
80270 "liuan" 116.520003 31.735101 272.19 824.47 1016.74 48462 17.6624657534247 72.7424657534247 1.62191780821918
80271 "liupanshui" 104.830998 26.5931 185.11 687.74 684.78 51533 14.5542465753425 76.7287671232877 1.17315068493151
80272 "longyan" 117.016997 25.074997 322.86 1339.06 1656.04 122683 21.1720547945205 74.6246575342466 1.8758904109589
80273 "loudi" 111.995 27.697297 224.91 762.42 1003.18 53056 18.7821917808219 72.8493150684932 1.70849315068493
80274 "luzhou" 105.442002 28.871797 281.41 1332.93 1111.56 63913 19.2320547945205 78.3753424657534 1.7441095890411
80275 "luoyang" 112.453003 34.617996 214.08 2139.02 3128.46 77434 15.8945205479452 59.5534246575342 3.03808219178082
80276 "luohe" 114.016998 33.581494 154.69 701.88 907.38 74491 16.6468493150685 66.4931506849315 1.40684931506849
80277 "lvliang" 111.144 37.518396 109.73 1593.66 662.69 70449 11.1616438356164 53.0849315068493 1.73369863013699
80278 "maanshan" 118.507002 31.670599 109.1 1205.18 1276.27 118371 17.6515068493151 69.641095890411 2.45643835616438
80279 "maoming" 110.924998 21.663296 18.2 33.8 48 63844 24.1734246575342 80.0246575342466 2.2758904109589
80280 "meishan" 103.850003 30.076798 243.28 680.4 813.32 58722 18.6416438356164 76.6657534246575 1.63369863013699
80281 "meizhou" 116.123004 24.288293 18.9 31.5 49.6 36549 22.4271232876712 75.5643835616438 1.5158904109589
80282 "mianyang" 104.678998 31.467799 393.19 1599.05 2046.49 82347 18.5347945205479 68.2246575342466 1.85260273972603
80283 "nanchang" 115.857996 28.6838 248.6 3484.61 3470.29 110289 19.6695890410959 72.0219178082192 1.75972602739726
80284 "nanchong" 106.111001 30.8378 506.98 949.21 1278.57 49453 18.3052054794521 79.3369863013699 1.9027397260274
80285 "nanjing" 118.796 32.058293 317.75 5929 11174.65 183016 17.1923287671233 69.6958904109589 2.20246575342466
80286 "nanning" 108.367003 22.816298 636.4 1194.58 3638.08 61338 22.7419178082192 78.5205479452055 2.67561643835616
80287 "nanping" 118.080917 27.382742 381.6 809.95 1078.45 85969 21.0583561643836 73.8575342465753 1.45232876712329
80288 "nantong" 120.894999 31.980896 519.65 5728.15 5565.47 152508 17.0361643835616 73.1945205479452 2.71095890410959
80289 "nanyang" 112.528003 32.990597 736.27 1315.79 2520.11 47846 16.2534246575342 71.7561643835616 2.57616438356164
80290 "neijiang" 105.058003 29.580198 297.43 561.74 947.94 58758 19.0553424657534 76.6383561643836 1.56438356164384
80291 "ningbo" 121.624274 29.860427 384 7541 8529 170363 18.5016438356164 73.9753424657534 2.16082191780822
80292 "panjin" 122.170709 40.71947 109.3 693.8 579 99717 11.2813698630137 63.1945205479452 3.04082191780822
80293 "pingdingshan" 113.193 33.766094 204.3 1135.29 1380.48 55057 16.2868493150685 65.841095890411 2.30849315068493
80294 "pingxiang" 113.88727 27.658429 77.71 475.44 598.51 63796 19.6558904109589 75.5260273972603 1.81068493150685
80295 "putian" 119.008 25.453893 149.94 1503.32 1417.47 96291 21.9186301369863 69.7698630136986 2.00602739726027
80296 "puyang" 115.028996 35.761895 203.49 664.41 982.74 49722 15.6517808219178 64.427397260274 1.77534246575342
80297 "qinzhou" 108.654 21.980894 352.39 646.2 962.69 59125 23.0701369863014 82.0191780821918 2.81753424657534
80298 "qinhuangdao" 119.51958 39.888361 259.95 640.41 1100.65 64491 11.5780821917808 66.9643835616438 1.50657534246575
80299 "qingdao" 120.383003 36.066096 492.75 5268.39 9999.2 152174 14.58 68.7835616438356 3.35123287671233
80300 "qingyuan" 113.055997 23.681992 16.2 38.1 45.7 53188 22.8506849315068 75.2520547945205 2.65808219178082
80301 "quzhou" 118.86 28.969896 91 909 1125 92662 18.9646575342466 73.0739726027397 2.36465753424658
80302 "quanzhou" 118.675998 24.873598 261.66 6469.12 5441.55 137060 21.5901369863014 74.5095890410959 4.73780821917808
80303 "rizhao" 119.527003 35.416499 218.47 934.34 1238.05 80820 14.8704109589041 63.7945205479452 2.9213698630137
80304 "sanmenxia" 111.199997 34.772493 174.84 696.08 749.35 79875 14.1608219178082 61.2712328767123 2.9972602739726
80305 "xiamen" 118.089999 24.479098 27.73 2867.94 5170.81 151697 22.0224657534247 74.9780821917808 2.95178082191781
80306 "shantou" 116.682 23.353296 4.5 48.2 47.3 56910 23.7635616438356 71.7808219178082 1.5641095890411
80307 "shanwei" 115.374997 22.785593 13.5 39.4 47.1 53252 23.6909589041096 75.8876712328767 2.20958904109589
80308 "shangluo" 109.917997 33.872297 129.73 235.26 470.74 41444 13.7583561643836 66.3369863013699 1.9
80309 "shangqiu" 115.655999 34.414101 588.03 1011.84 1509.13 40403 15.5764383561644 69.0356164383562 2.44630136986301
80310 "shanghai" 121.474001 31.230001 96.09 11612.97 35509.6 190713.9 18.5216438356164 70.6109589041096 0.366027397260274
80311 "shangrao" 117.943003 28.454401 332.9 1308.9 1759.7 53020 19.1243835616438 74.7479452054795 1.63753424657534
80312 "shaoguan" 113.596997 24.810098 14.7 34.5 50.8 56677 21.2284931506849 77.7095890410959 2.17315068493151
80313 "shaoyang" 111.467999 27.238997 436.1 897.6 1397.7 42757 18.4835616438356 74.758904109589 1.57479452054795
80314 "shaoxing" 120.583573 30.051415 239 3729 3823 144992 19.0416438356164 71.6191780821918 1.40794520547945
80315 "shenyang" 123.464664 41.677564 334.4 2953.1 4834.5 88519 9.89835616438356 60.3698630136986 2.04630136986301
80316 "shiyan" 110.797999 32.629196 229.82 861.07 1268.14 74660 16.7824657534247 69.9561643835616 1.62328767123288
80317 "shijiazhuang" 114.514997 38.042401 576.9 2309.2 4648.1 67099 15.7038356164384 55.0684931506849 2.05041095890411
80318 "shuozhou" 112.433003 39.330799 103.4 726.6 709.4 97133 8.84767123287671 48.4328767123288 1.7372602739726
80319 "siping" 124.350002 43.166001 1911137 1182313 2795199 34922 7.61 63 3.02
80320 "suzhou" 120.585999 31.2973 195.22 11541.38 12916.77 190605 18.1493150684932 70.2876712328767 2.48465753424658
80321 "suqian" 118.275001 33.961999 389.5 1941.95 2066.62 88379 16.4852054794521 66.3342465753425 2.00931506849315
80322 "suzhou" 116.963999 33.646198 338.38 739.2 1213.88 43387 15.8709589041096 72.0246575342466 2.52328767123288
80323 "suizhou" 113.382998 31.690298 190.47 551.26 589.12 66254 16.42 76 1.45
80324 "suining" 105.593003 30.5328 221.32 783.11 710.54 62137 18.507397260274 75.654794520548 1.2786301369863
80325 "taizhou" 121.420997 28.656 334 2628 3278 93214 19.4745205479452 73.4082191780822 1.86630136986301
80326 "taiyuan" 112.550004 37.870702 45.98 2341.68 3186.08 102370 11.141095890411 57.7342465753425 1.68219178082192
80327 "taian" 117.087997 36.199899 361.84 1349.78 1612.24 61841 15.3487671232877 58.2082191780822 1.92356164383562
80328 "taizhou" 119.923004 32.454895 344.71 3258.62 3128.33 149383 16.5805479452055 75.827397260274 1.92054794520548
80329 "tangshan" 118.180003 39.630399 655.2 4660 3818 118418 13.1347945205479 58.4328767123288 2.13753424657534
80330 "tianjin" 117.201559 39.085256 268.53 5982.62 10486.15 122752 14.3912328767123 56.358904109589 2.55835616438356
80331 "tongchuan" 108.945998 34.896398 37.09 243.56 229.98 72435 13.3216438356164 65.0739726027397 2.07260273972603
80332 "tongling" 117.812004 30.9452 63.56 569.17 597.1 94530 18.1315068493151 74.1917808219178 2.36164383561644
80333 "tongren" 109.189998 27.731496 338.01 346.77 829.32 46746 18.2616438356164 73.7452054794521 1.48657534246575
80334 "weihai" 122.121004 37.5106 368.68 1331.58 1813.28 120504 14.4320547945205 61.3972602739726 3.46356164383562
80335 "weifang" 119.161996 36.706298 674.31 3088.15 3843.55 80970 15.4284931506849 57.8109589041096 2.01369863013699
80336 "weinan" 109.510003 34.499995 437.83 732.77 933.23 45621 14.1024657534247 64.4328767123288 1.68465753424658
80337 "wenzhou" 120.700002 27.994899 180 3607 4944 89821 20.1101369863014 75.1260273972603 0.792876712328767
80338 "wuxi" 120.311999 31.493093 136.5 7376.85 7942.84 206278 17.9134246575342 69.9397260273973 1.98465753424658
80339 "wuhu" 118.433004 31.352201 182.99 2181.22 2376.87 126648 17.7027397260274 76.1424657534247 1.85671232876712
80340 "wuzhou" 111.279001 23.476899 221.2 601.3 668.27 52640 22.4298630136986 79.0109589041096 1.92164383561644
80341 "wuhan" 114.305005 30.592798 474.38 6580.91 12956.36 145471 18.0978082191781 73.7945205479452 1.54575342465753
80342 "xian" 108.939999 34.341097 325.2 4146.92 7538.64 92128 15.6539726027397 61.0246575342466 2.04
80343 "xianning" 114.322 29.841198 257.73 594.57 966.93 69634 18.1602739726027 73.7205479452055 1.95616438356164
80344 "xianyang" 108.708998 34.3292 424.1 1329.38 1124.78 69439 14.6317808219178 64.6684931506849 1.90493150684932
80345 "xiangtan" 112.944 27.8296 182.62 1381.46 1177.76 101474 19.0175342465753 82.4602739726027 2.25917808219178
80346 "xiangyang" 112.121996 32.008997 578.89 2480.14 2783.87 110719 17.0619178082192 70.9095890410959 3.42904109589041
80347 "xiaogan" 113.956923 30.918745 407.15 1128.78 1383.92 69873 18.0786301369863 71.4219178082192 1.68246575342466
80348 "xinzhou" 112.733996 38.416699 132.1 724.5 587 54578 10.4646575342466 55.0493150684932 2.09095890410959
80349 "xinxiang" 113.926996 35.303895 296.25 1420.84 1630.56 54473 15.7413698630137 65.2712328767123 2.24465753424658
80350 "xinyu" 114.917005 27.8178 74.62 510.93 676.34 105098 19.1057534246575 73.2027397260274 2.01808219178082
80351 "xinyang" 114.091001 32.147 470.43 926.68 1562.29 48459 17.6331506849315 67.4301369863014 2.03506849315069
80352 "xingtai" 114.504997 37.070594 349.6 934.9 1301.6 36994 15.4531506849315 57.1698630136986 3.10465753424658
80353 "xuzhou" 117.283998 34.206898 770.97 3622.34 4507.13 98683 16.5095890410959 63.1342465753425 1.64383561643836
80354 "xuchang" 113.851996 34.0354 216.53 1398.91 1622.75 73897 15.7378082191781 69.841095890411 2.43397260273973
80355 "xuancheng" 118.759003 30.940793 179.9 906.4 865.6 78358 17.6964383561644 76.0602739726027 1.84
80356 "yaan" 103.042997 30.010895 173.75 317.28 519 70582 17.7547945205479 76.2493150684931 0.883013698630137
80357 "yantai" 121.448002 37.463701 696.19 4278.29 5187.98 144241 13.9482191780822 63.6739726027397 3.51561643835616
80358 "yanan" 109.494572 36.650404 240.13 1391.08 649.03 100695 10.5295890410959 57.7369863013699 2.14301369863014
80359 "yancheng" 120.160997 33.349295 818.87 2981.18 3603.82 110681 16.1380821917808 73.5561643835617 1.90767123287671
80360 "yangzhou" 119.413004 32.394393 337.09 3509.6 3576.57 161940 16.9723287671233 72.5753424657534 1.66438356164384
80361 "yangjiang" 111.981998 21.858193 16.2 38 45.8 60294 23.6704109589041 78.8465753424658 3.22383561643836
80362 "yangquan" 113.580998 37.856701 17.6 534.8 450.3 76830 12.0194520547945 56.7397260273973 2.50904109589041
80363 "yibin" 104.643 28.751694 404.18 1888.89 1513.57 82341 18.7569863013699 76.4219178082192 2.43397260273973
80364 "yichang" 111.286003 30.691697 608.56 2280.34 2867.45 146771 17.4227397260274 73.9424657534247 1.80301369863014
80365 "yichun" 114.416996 27.8152 348 1421.95 1697.52 69951 19.3120547945205 76.0904109589041 1.79095890410959
80366 "yiyang" 112.355001 28.553795 353.53 931.25 851.43 56364 19.2558904109589 77.827397260274 1.59643835616438
80367 "yingtan" 117.068997 28.260093 75 660.68 546.57 111176 19.5320547945205 78.1232876712329 2.21342465753425
80368 "yingkou" 122.219184 40.625068 131.1 615.9 732.4 64999 11.3608219178082 64.6630136986301 3.19123287671233
80369 "yongzhou" 111.612999 26.419593 441.54 809.54 1244.74 48165 19.7408219178082 74.3315068493151 2.2413698630137
80370 "yulin" 109.735002 38.285199 314.54 5118.36 1658.54 195895 10.3841095890411 48.572602739726 2.68191780821918
80371 "yulin" 110.182 22.653694 428.56 593.19 1172.68 37682 23.0460273972603 78.7561643835616 2.04164383561644
80372 "yueyang" 113.128998 29.357193 482.05 1907.4 2452.32 96749 19.1728767123288 71.6958904109589 2.37753424657534
80373 "yunfu" 112.044999 22.914999 18.4 32.1 49.5 50382 23.041095890411 78.7835616438356 1.47287671232877
80374 "yuncheng" 111.006996 35.026398 346 958.1 1025.8 49445 14.7364383561644 62.6109589041096 1.93315068493151
80375 "zaozhuang" 117.323997 34.810094 200.82 822.86 1133.06 56463 16.152602739726 60.4657534246575 1.6572602739726
80376 "zhanjiang" 110.359 21.270895 18.6 38.4 43 53757 24.0739726027397 82.1095890410959 2.87808219178082
80377 "zhangjiajie" 110.478999 29.116995 88.3 71.2 454.5 40919 18.0632876712329 75.6520547945206 1.42794520547945
80378 "zhangjiakou" 114.886001 40.767499 321.8 464.1 1056.8 45360 9.81479452054795 45.3397260273973 2.61315068493151
80379 "zhangzhou" 117.647002 24.513198 599.34 2694.45 2434.64 113087 22.621095890411 75.5068493150685 1.95287671232877
80380 "changsha" 112.938997 28.228694 451.89 5365.53 8514.55 137543 18.4347945205479 76.6767123287671 2.53424657534247
80381 "changzhi" 113.116003 36.195494 102.7 1814.7 888.8 89536 11.6238356164384 57.3835616438356 3.29452054794521
80382 "zhaoqing" 112.464999 23.046796 17.9 41.3 40.8 67614 23.2687671232877 78.5698630136986 2.20438356164384
80383 "zhenjiang" 119.424001 32.188601 167.52 2507.36 2589.19 163273 16.8852054794521 71.1178082191781 2.20657534246575
80384 "zhengzhou" 113.624997 34.747196 172.24 5373.41 8072.19 105418 16.9791780821918 58.2219178082192 1.63561643835616
80385 "zhongshan" 113.392998 22.515994 2.4 51.1 46.5 86636 23.8909589041096 76.3534246575342 1.67068493150685
80386 "zhongqing" 106.552003 29.562696 2074.68 11699.14 16371.97 94135 20.2082191780822 73.5945205479452 1.46958904109589
80387 "zhoukou" 114.70152 33.636878 575.49 1097.39 1659.69 38134 17.5095890410959 61.4520547945205 1.35808219178082
80388 "zhuhai" 113.576002 22.270896 1.7 44.2 54.1 170306 23.9027397260274 77.358904109589 2.62712328767123
80389 "zhuzhou" 113.134003 27.827495 276.2 1613.9 1777.8 94983 19.5205479452055 75.6712328767123 1.83972602739726
80390 "zhumadian" 114.021996 33.011694 517.41 1052.24 1527.5 45333 16.2857534246575 71.0767123287671 1.95315068493151
80391 "ziyang" 104.628001 30.1287 196.64 299.71 522.87 45078 19.0334246575342 71.8602739726027 2.0386301369863
80392 "zibo" 118.055002 36.813 194.2 2220.99 2146.6 97267 14.9452054794521 60.1753424657534 1.61452054794521
80393 "zigong" 104.777997 29.339396 259.77 588.04 902.66 71726 19.8704109589041 72.427397260274 1.38602739726027
80394 "zunyi" 107.031498 27.722036 554.29 2194.44 1852.84 69842 16.5106849315068 78.5835616438356 1.35178082191781
